,avg(sentiment),start,end
0,0.3333333333333333,2021-02-02 21:09:00,2021-02-02 21:10:00
1,0.5,2021-02-02 21:10:00,2021-02-02 21:11:00
2,0.6666666666666666,2021-02-02 21:11:00,2021-02-02 21:12:00
3,0.6666666666666666,2021-02-03 10:33:00,2021-02-03 10:34:00
4,0.6666666666666666,2021-02-03 10:34:00,2021-02-03 10:35:00
5,0.0,2021-02-03 10:35:00,2021-02-03 10:36:00
6,0.5,2021-02-03 10:37:00,2021-02-03 10:38:00
7,1.0,2021-02-03 10:38:00,2021-02-03 10:39:00
8,1.0,2021-02-03 10:39:00,2021-02-03 10:40:00
9,0.3333333333333333,2021-02-03 10:40:00,2021-02-03 10:41:00
10,0.5,2021-02-03 10:41:00,2021-02-03 10:42:00
11,0.0,2021-02-03 10:42:00,2021-02-03 10:43:00
12,1.0,2021-02-03 10:43:00,2021-02-03 10:44:00
13,0.3333333333333333,2021-02-03 10:44:00,2021-02-03 10:45:00
14,1.0,2021-02-03 10:45:00,2021-02-03 10:46:00
15,0.3333333333333333,2021-02-03 10:46:00,2021-02-03 10:47:00
16,1.0,2021-02-03 10:48:00,2021-02-03 10:49:00
17,0.0,2021-02-03 10:49:00,2021-02-03 10:50:00
18,0.0,2021-02-04 10:56:00,2021-02-04 10:57:00
19,0.2857142857142857,2021-02-04 10:57:00,2021-02-04 10:58:00
20,0.7,2021-02-04 10:58:00,2021-02-04 10:59:00
21,0.0,2021-02-04 10:59:00,2021-02-04 11:00:00
22,0.5,2021-02-04 11:00:00,2021-02-04 11:01:00
23,0.0,2021-02-04 11:01:00,2021-02-04 11:02:00
24,0.0,2021-02-04 11:02:00,2021-02-04 11:03:00
25,0.6,2021-02-04 11:03:00,2021-02-04 11:04:00
26,0.16666666666666666,2021-02-04 11:04:00,2021-02-04 11:05:00
27,0.0,2021-02-04 11:05:00,2021-02-04 11:06:00
28,0.3333333333333333,2021-02-04 11:06:00,2021-02-04 11:07:00
29,0.42857142857142855,2021-02-04 11:07:00,2021-02-04 11:08:00
30,0.3333333333333333,2021-02-04 11:08:00,2021-02-04 11:09:00
31,0.0,2021-02-04 11:09:00,2021-02-04 11:10:00
32,0.0,2021-02-04 11:10:00,2021-02-04 11:11:00
33,0.0,2021-02-04 11:11:00,2021-02-04 11:12:00
34,0.0,2021-02-04 11:12:00,2021-02-04 11:13:00
35,0.5,2021-02-04 11:13:00,2021-02-04 11:14:00
36,0.0,2021-02-04 11:14:00,2021-02-04 11:15:00
37,1.0,2021-02-04 11:15:00,2021-02-04 11:16:00
38,0.42857142857142855,2021-02-04 11:16:00,2021-02-04 11:17:00
39,0.6666666666666666,2021-02-04 11:17:00,2021-02-04 11:18:00
40,0.0,2021-02-04 11:18:00,2021-02-04 11:19:00
41,0.125,2021-02-04 11:19:00,2021-02-04 11:20:00
42,0.25,2021-02-04 11:20:00,2021-02-04 11:21:00
43,0.5,2021-02-04 11:21:00,2021-02-04 11:22:00
44,0.6666666666666666,2021-02-04 11:22:00,2021-02-04 11:23:00
45,0.4,2021-02-04 11:23:00,2021-02-04 11:24:00
46,0.5,2021-02-04 11:24:00,2021-02-04 11:25:00
47,0.4,2021-02-04 11:25:00,2021-02-04 11:26:00
48,0.0,2021-02-04 11:26:00,2021-02-04 11:27:00
49,0.16666666666666666,2021-02-04 11:27:00,2021-02-04 11:28:00
50,0.25,2021-02-04 11:28:00,2021-02-04 11:29:00
51,0.5,2021-02-04 11:29:00,2021-02-04 11:30:00
52,0.3333333333333333,2021-02-04 11:30:00,2021-02-04 11:31:00
53,0.6,2021-02-04 11:31:00,2021-02-04 11:32:00
54,0.75,2021-02-04 11:32:00,2021-02-04 11:33:00
55,1.0,2021-02-04 11:33:00,2021-02-04 11:34:00
56,0.5,2021-02-04 11:34:00,2021-02-04 11:35:00
57,0.0,2021-02-04 11:35:00,2021-02-04 11:36:00
58,1.0,2021-02-04 11:36:00,2021-02-04 11:37:00
59,0.25,2021-02-04 11:37:00,2021-02-04 11:38:00
60,0.6666666666666666,2021-02-04 11:38:00,2021-02-04 11:39:00
61,0.6666666666666666,2021-02-04 11:40:00,2021-02-04 11:41:00
62,0.3333333333333333,2021-02-04 12:43:00,2021-02-04 12:44:00
63,0.5,2021-02-04 12:44:00,2021-02-04 12:45:00
64,0.25,2021-02-04 12:45:00,2021-02-04 12:46:00
65,0.16666666666666666,2021-02-04 12:47:00,2021-02-04 12:48:00
66,0.5,2021-02-04 12:48:00,2021-02-04 12:49:00
67,0.0,2021-02-04 12:49:00,2021-02-04 12:50:00
68,1.0,2021-02-04 12:50:00,2021-02-04 12:51:00
69,0.4,2021-02-04 12:51:00,2021-02-04 12:52:00
70,0.5,2021-02-04 12:52:00,2021-02-04 12:53:00
71,0.0,2021-02-04 12:53:00,2021-02-04 12:54:00
72,0.5,2021-02-04 12:54:00,2021-02-04 12:55:00
